"seq","mdptn","email","kyoten","namae","url","ptnid","insdate","sent","sentdate"
"1","40","karasawa_kou@example.com","","","","7","2012-11-28 11:50:00","0",""
"1","40","karasawa_kou@example.com","","","","3","2012-11-28 11:50:00","0",""
"1","40","karasawa_kou@example.com","","","","2","2012-11-28 11:50:00","0",""
"1","40","karasawa_kou@example.com","","","","5","2012-11-28 11:50:00","0",""
"2","40","uchimura_keiko@example.com","","","","7","2012-11-28 11:50:00","0",""
"2","40","uchimura_keiko@example.com","","","","3","2012-11-28 11:50:00","0",""
"2","40","uchimura_keiko@example.com","","","","2","2012-11-28 11:50:00","0",""
"2","40","uchimura_keiko@example.com","","","","5","2012-11-28 11:50:00","0",""
"3","40","kawano_tomoka@example.com","","","","7","2012-11-28 11:50:00","0",""
"3","40","kawano_tomoka@example.com","","","","3","2012-11-28 11:50:00","0",""
"3","40","kawano_tomoka@example.com","","","","2","2012-11-28 11:50:00","0",""
"3","40","kawano_tomoka@example.com","","","","5","2012-11-28 11:50:00","0",""
"4","40","nishihara_eiichi@example.com","","","","7","2012-11-28 11:50:00","0",""
"4","40","nishihara_eiichi@example.com","","","","3","2012-11-28 11:50:00","0",""
"4","40","nishihara_eiichi@example.com","","","","2","2012-11-28 11:50:00","0",""
"4","40","nishihara_eiichi@example.com","","","","5","2012-11-28 11:50:00","0",""
"5","40","murai_kei@example.com","","","","7","2012-11-28 11:50:00","0",""
"5","40","murai_kei@example.com","","","","3","2012-11-28 11:50:00","0",""
"5","40","murai_kei@example.com","","","","2","2012-11-28 11:50:00","0",""
"5","40","murai_kei@example.com","","","","5","2012-11-28 11:50:00","0",""
"6","40","imano_michiko@example.com","","","","7","2012-11-28 11:50:00","0",""
"6","40","imano_michiko@example.com","","","","3","2012-11-28 11:50:00","0",""
"6","40","imano_michiko@example.com","","","","2","2012-11-28 11:50:00","0",""
"6","40","imano_michiko@example.com","","","","5","2012-11-28 11:50:00","0",""
"7","40","nonaka_rio@example.com","","","","7","2012-11-28 11:50:00","0",""
"7","40","nonaka_rio@example.com","","","","3","2012-11-28 11:50:00","0",""
"7","40","nonaka_rio@example.com","","","","2","2012-11-28 11:50:00","0",""
"7","40","nonaka_rio@example.com","","","","5","2012-11-28 11:50:00","0",""
"8","40","takase_yuuko@example.com","","","","7","2012-11-28 11:50:00","0",""
"8","40","takase_yuuko@example.com","","","","3","2012-11-28 11:50:00","0",""
"8","40","takase_yuuko@example.com","","","","2","2012-11-28 11:50:00","0",""
"8","40","takase_yuuko@example.com","","","","5","2012-11-28 11:50:00","0",""
"9","40","okamoto_takeshi@example.com","","","","7","2012-11-28 11:50:00","0",""
"9","40","okamoto_takeshi@example.com","","","","3","2012-11-28 11:50:00","0",""
"9","40","okamoto_takeshi@example.com","","","","2","2012-11-28 11:50:00","0",""
"9","40","okamoto_takeshi@example.com","","","","5","2012-11-28 11:50:00","0",""
"10","40","igarashi_ai@example.com","","","","7","2012-11-28 11:50:00","0",""
"10","40","igarashi_ai@example.com","","","","3","2012-11-28 11:50:00","0",""
"10","40","igarashi_ai@example.com","","","","2","2012-11-28 11:50:00","0",""
"10","40","igarashi_ai@example.com","","","","5","2012-11-28 11:50:00","0",""
"11","40","matsunaga_shihori@example.com","","","","7","2012-11-28 11:50:00","0",""
"11","40","matsunaga_shihori@example.com","","","","3","2012-11-28 11:50:00","0",""
"11","40","matsunaga_shihori@example.com","","","","2","2012-11-28 11:50:00","0",""
"11","40","matsunaga_shihori@example.com","","","","5","2012-11-28 11:50:00","0",""
"12","40","yanagi_kisuke@example.com","","","","7","2012-11-28 11:50:00","0",""
"12","40","yanagi_kisuke@example.com","","","","3","2012-11-28 11:50:00","0",""
"12","40","yanagi_kisuke@example.com","","","","2","2012-11-28 11:50:00","0",""
"12","40","yanagi_kisuke@example.com","","","","5","2012-11-28 11:50:00","0",""
"13","40","koizumi_kenji@example.com","","","","7","2012-11-28 11:50:00","0",""
"13","40","koizumi_kenji@example.com","","","","3","2012-11-28 11:50:00","0",""
"13","40","koizumi_kenji@example.com","","","","2","2012-11-28 11:50:00","0",""
"13","40","koizumi_kenji@example.com","","","","5","2012-11-28 11:50:00","0",""
"14","40","kaneda_hajime@example.com","","","","7","2012-11-28 11:50:00","0",""
"14","40","kaneda_hajime@example.com","","","","3","2012-11-28 11:50:00","0",""
"14","40","kaneda_hajime@example.com","","","","2","2012-11-28 11:50:00","0",""
"14","40","kaneda_hajime@example.com","","","","5","2012-11-28 11:50:00","0",""
"15","40","kurata_saori@example.com","","","","7","2012-11-28 11:50:00","0",""
"15","40","kurata_saori@example.com","","","","3","2012-11-28 11:50:00","0",""
"15","40","kurata_saori@example.com","","","","2","2012-11-28 11:50:00","0",""
"15","40","kurata_saori@example.com","","","","5","2012-11-28 11:50:00","0",""
"16","40","sekiya_kenji@example.com","","","","7","2012-11-28 11:50:00","0",""
"16","40","sekiya_kenji@example.com","","","","3","2012-11-28 11:50:00","0",""
"16","40","sekiya_kenji@example.com","","","","2","2012-11-28 11:50:00","0",""
"16","40","sekiya_kenji@example.com","","","","5","2012-11-28 11:50:00","0",""
"17","40","misawa_aoi@example.com","","","","7","2012-11-28 11:50:00","0",""
"17","40","misawa_aoi@example.com","","","","3","2012-11-28 11:50:00","0",""
"17","40","misawa_aoi@example.com","","","","2","2012-11-28 11:50:00","0",""
"17","40","misawa_aoi@example.com","","","","5","2012-11-28 11:50:00","0",""
"18","40","ujiie_asami@example.com","","","","7","2012-11-28 11:50:00","0",""
"18","40","ujiie_asami@example.com","","","","3","2012-11-28 11:50:00","0",""
"18","40","ujiie_asami@example.com","","","","2","2012-11-28 11:50:00","0",""
"18","40","ujiie_asami@example.com","","","","5","2012-11-28 11:50:00","0",""
"19","40","shibazaki_chise@example.com","","","","7","2012-11-28 11:50:00","0",""
"19","40","shibazaki_chise@example.com","","","","3","2012-11-28 11:50:00","0",""
"19","40","shibazaki_chise@example.com","","","","2","2012-11-28 11:50:00","0",""
"19","40","shibazaki_chise@example.com","","","","5","2012-11-28 11:50:00","0",""
"20","40","araki_girolamo@example.com","","","","7","2012-11-28 11:50:00","0",""
"20","40","araki_girolamo@example.com","","","","3","2012-11-28 11:50:00","0",""
"20","40","araki_girolamo@example.com","","","","2","2012-11-28 11:50:00","0",""
"20","40","araki_girolamo@example.com","","","","5","2012-11-28 11:50:00","0",""
"21","40","yamamoto_haruki@example.com","","","","7","2012-11-28 11:50:00","0",""
"21","40","yamamoto_haruki@example.com","","","","3","2012-11-28 11:50:00","0",""
"21","40","yamamoto_haruki@example.com","","","","2","2012-11-28 11:50:00","0",""
"21","40","yamamoto_haruki@example.com","","","","5","2012-11-28 11:50:00","0",""
"22","40","shimamoto_mitsuhiro@example.com","","","","7","2012-11-28 11:50:00","0",""
"22","40","shimamoto_mitsuhiro@example.com","","","","3","2012-11-28 11:50:00","0",""
"22","40","shimamoto_mitsuhiro@example.com","","","","2","2012-11-28 11:50:00","0",""
"22","40","shimamoto_mitsuhiro@example.com","","","","5","2012-11-28 11:50:00","0",""
"23","40","umedu_kousuke@example.com","","","","7","2012-11-28 11:50:00","0",""
"23","40","umedu_kousuke@example.com","","","","3","2012-11-28 11:50:00","0",""
"23","40","umedu_kousuke@example.com","","","","2","2012-11-28 11:50:00","0",""
"23","40","umedu_kousuke@example.com","","","","5","2012-11-28 11:50:00","0",""
"24","40","isobe_naoto@example.com","","","","7","2012-11-28 11:50:00","0",""
"24","40","isobe_naoto@example.com","","","","3","2012-11-28 11:50:00","0",""
"24","40","isobe_naoto@example.com","","","","2","2012-11-28 11:50:00","0",""
"24","40","isobe_naoto@example.com","","","","5","2012-11-28 11:50:00","0",""
"25","40","kodama_haruka@example.com","","","","7","2012-11-28 11:50:00","0",""
"25","40","kodama_haruka@example.com","","","","3","2012-11-28 11:50:00","0",""
"25","40","kodama_haruka@example.com","","","","2","2012-11-28 11:50:00","0",""
"25","40","kodama_haruka@example.com","","","","5","2012-11-28 11:50:00","0",""
"26","40","nakagawa_yuuta@example.com","","","","7","2012-11-28 11:50:00","0",""
"26","40","nakagawa_yuuta@example.com","","","","3","2012-11-28 11:50:00","0",""
"26","40","nakagawa_yuuta@example.com","","","","2","2012-11-28 11:50:00","0",""
"26","40","nakagawa_yuuta@example.com","","","","5","2012-11-28 11:50:00","0",""
"27","40","ishida_shidou@example.com","","","","7","2012-11-28 11:50:00","0",""
"27","40","ishida_shidou@example.com","","","","3","2012-11-28 11:50:00","0",""
"27","40","ishida_shidou@example.com","","","","2","2012-11-28 11:50:00","0",""
"27","40","ishida_shidou@example.com","","","","5","2012-11-28 11:50:00","0",""
"28","40","morishima_airi@example.com","","","","7","2012-11-28 11:50:00","0",""
"28","40","morishima_airi@example.com","","","","3","2012-11-28 11:50:00","0",""
"28","40","morishima_airi@example.com","","","","2","2012-11-28 11:50:00","0",""
"28","40","morishima_airi@example.com","","","","5","2012-11-28 11:50:00","0",""
"29","40","moriwaki_yuuki@example.com","","","","7","2012-11-28 11:50:00","0",""
"29","40","moriwaki_yuuki@example.com","","","","3","2012-11-28 11:50:00","0",""
"29","40","moriwaki_yuuki@example.com","","","","2","2012-11-28 11:50:00","0",""
"29","40","moriwaki_yuuki@example.com","","","","5","2012-11-28 11:50:00","0",""
"30","40","matsuzaki_yuuichi@example.com","","","","7","2012-11-28 11:50:00","0",""
"30","40","matsuzaki_yuuichi@example.com","","","","3","2012-11-28 11:50:00","0",""
"30","40","matsuzaki_yuuichi@example.com","","","","2","2012-11-28 11:50:00","0",""
"30","40","matsuzaki_yuuichi@example.com","","","","5","2012-11-28 11:50:00","0",""
"31","40","kawai_satomi@example.com","","","","7","2012-11-28 11:50:00","0",""
"31","40","kawai_satomi@example.com","","","","3","2012-11-28 11:50:00","0",""
"31","40","kawai_satomi@example.com","","","","2","2012-11-28 11:50:00","0",""
"31","40","kawai_satomi@example.com","","","","5","2012-11-28 11:50:00","0",""
"32","40","tanaka_mina@example.com","","","","7","2012-11-28 11:50:00","0",""
"32","40","tanaka_mina@example.com","","","","3","2012-11-28 11:50:00","0",""
"32","40","tanaka_mina@example.com","","","","2","2012-11-28 11:50:00","0",""
"32","40","tanaka_mina@example.com","","","","5","2012-11-28 11:50:00","0",""
"33","40","nagase_emiko@example.com","","","","7","2012-11-28 11:50:00","0",""
"33","40","nagase_emiko@example.com","","","","3","2012-11-28 11:50:00","0",""
"33","40","nagase_emiko@example.com","","","","2","2012-11-28 11:50:00","0",""
"33","40","nagase_emiko@example.com","","","","5","2012-11-28 11:50:00","0",""
"34","40","furuya_yumiko@example.com","","","","7","2012-11-28 11:50:00","0",""
"34","40","furuya_yumiko@example.com","","","","3","2012-11-28 11:50:00","0",""
"34","40","furuya_yumiko@example.com","","","","2","2012-11-28 11:50:00","0",""
"34","40","furuya_yumiko@example.com","","","","5","2012-11-28 11:50:00","0",""
"35","40","kitakawa_mia@example.com","","","","7","2012-11-28 11:50:00","0",""
"35","40","kitakawa_mia@example.com","","","","3","2012-11-28 11:50:00","0",""
"35","40","kitakawa_mia@example.com","","","","2","2012-11-28 11:50:00","0",""
"35","40","kitakawa_mia@example.com","","","","5","2012-11-28 11:50:00","0",""
"36","40","hirota_nao@example.com","","","","7","2012-11-28 11:50:00","0",""
"36","40","hirota_nao@example.com","","","","3","2012-11-28 11:50:00","0",""
"36","40","hirota_nao@example.com","","","","2","2012-11-28 11:50:00","0",""
"36","40","hirota_nao@example.com","","","","5","2012-11-28 11:50:00","0",""
"37","40","emoto_natsumi@example.com","","","","7","2012-11-28 11:50:00","0",""
"37","40","emoto_natsumi@example.com","","","","3","2012-11-28 11:50:00","0",""
"37","40","emoto_natsumi@example.com","","","","2","2012-11-28 11:50:00","0",""
"37","40","emoto_natsumi@example.com","","","","5","2012-11-28 11:50:00","0",""
"38","40","takano_misako@example.com","","","","7","2012-11-28 11:50:00","0",""
"38","40","takano_misako@example.com","","","","3","2012-11-28 11:50:00","0",""
"38","40","takano_misako@example.com","","","","2","2012-11-28 11:50:00","0",""
"38","40","takano_misako@example.com","","","","5","2012-11-28 11:50:00","0",""
"39","40","yamakawa_naoto@example.com","","","","7","2012-11-28 11:50:00","0",""
"39","40","yamakawa_naoto@example.com","","","","3","2012-11-28 11:50:00","0",""
"39","40","yamakawa_naoto@example.com","","","","2","2012-11-28 11:50:00","0",""
"39","40","yamakawa_naoto@example.com","","","","5","2012-11-28 11:50:00","0",""
"40","40","kadota_shigeki@example.com","","","","7","2012-11-28 11:50:00","0",""
"40","40","kadota_shigeki@example.com","","","","3","2012-11-28 11:50:00","0",""
"40","40","kadota_shigeki@example.com","","","","2","2012-11-28 11:50:00","0",""
"40","40","kadota_shigeki@example.com","","","","5","2012-11-28 11:50:00","0",""
"41","40","umemura_natsumi@example.com","","","","7","2012-11-28 11:50:00","0",""
"41","40","umemura_natsumi@example.com","","","","3","2012-11-28 11:50:00","0",""
"41","40","umemura_natsumi@example.com","","","","2","2012-11-28 11:50:00","0",""
"41","40","umemura_natsumi@example.com","","","","5","2012-11-28 11:50:00","0",""
"42","40","yoshiwara_masami@example.com","","","","7","2012-11-28 11:50:00","0",""
"42","40","yoshiwara_masami@example.com","","","","3","2012-11-28 11:50:00","0",""
"42","40","yoshiwara_masami@example.com","","","","2","2012-11-28 11:50:00","0",""
"42","40","yoshiwara_masami@example.com","","","","5","2012-11-28 11:50:00","0",""
"43","40","uchimura_stmaria@example.com","","","","7","2012-11-28 11:50:00","0",""
"43","40","uchimura_stmaria@example.com","","","","3","2012-11-28 11:50:00","0",""
"43","40","uchimura_stmaria@example.com","","","","2","2012-11-28 11:50:00","0",""
"43","40","uchimura_stmaria@example.com","","","","5","2012-11-28 11:50:00","0",""
"44","40","akamatsu_rinako@example.com","","","","7","2012-11-28 11:50:00","0",""
"44","40","akamatsu_rinako@example.com","","","","3","2012-11-28 11:50:00","0",""
"44","40","akamatsu_rinako@example.com","","","","2","2012-11-28 11:50:00","0",""
"44","40","akamatsu_rinako@example.com","","","","5","2012-11-28 11:50:00","0",""
"45","40","mochiduki_hiroaki@example.com","","","","7","2012-11-28 11:50:00","0",""
"45","40","mochiduki_hiroaki@example.com","","","","3","2012-11-28 11:50:00","0",""
"45","40","mochiduki_hiroaki@example.com","","","","2","2012-11-28 11:50:00","0",""
"45","40","mochiduki_hiroaki@example.com","","","","5","2012-11-28 11:50:00","0",""
"46","40","horie_shou@example.com","","","","7","2012-11-28 11:50:00","0",""
"46","40","horie_shou@example.com","","","","3","2012-11-28 11:50:00","0",""
"46","40","horie_shou@example.com","","","","2","2012-11-28 11:50:00","0",""
"46","40","horie_shou@example.com","","","","5","2012-11-28 11:50:00","0",""
"47","40","uemura_hikari@example.com","","","","7","2012-11-28 11:50:00","0",""
"47","40","uemura_hikari@example.com","","","","3","2012-11-28 11:50:00","0",""
"47","40","uemura_hikari@example.com","","","","2","2012-11-28 11:50:00","0",""
"47","40","uemura_hikari@example.com","","","","5","2012-11-28 11:50:00","0",""
"48","40","fukui_kogan@example.com","","","","7","2012-11-28 11:50:00","0",""
"48","40","fukui_kogan@example.com","","","","3","2012-11-28 11:50:00","0",""
"48","40","fukui_kogan@example.com","","","","2","2012-11-28 11:50:00","0",""
"48","40","fukui_kogan@example.com","","","","5","2012-11-28 11:50:00","0",""
"49","40","taue_ikue@example.com","","","","7","2012-11-28 11:50:00","0",""
"49","40","taue_ikue@example.com","","","","3","2012-11-28 11:50:00","0",""
"49","40","taue_ikue@example.com","","","","2","2012-11-28 11:50:00","0",""
"49","40","taue_ikue@example.com","","","","5","2012-11-28 11:50:00","0",""
"50","40","kouno_takashi@example.com","","","","7","2012-11-28 11:50:00","0",""
"50","40","kouno_takashi@example.com","","","","3","2012-11-28 11:50:00","0",""
"50","40","kouno_takashi@example.com","","","","2","2012-11-28 11:50:00","0",""
"50","40","kouno_takashi@example.com","","","","5","2012-11-28 11:50:00","0",""
"51","40","nakamura_ryuunosuke@example.com","","","","7","2012-11-28 11:50:00","0",""
"51","40","nakamura_ryuunosuke@example.com","","","","3","2012-11-28 11:50:00","0",""
"51","40","nakamura_ryuunosuke@example.com","","","","2","2012-11-28 11:50:00","0",""
"51","40","nakamura_ryuunosuke@example.com","","","","5","2012-11-28 11:50:00","0",""
"52","40","yanagiya_katsuhisa@example.com","","","","7","2012-11-28 11:50:00","0",""
"52","40","yanagiya_katsuhisa@example.com","","","","3","2012-11-28 11:50:00","0",""
"52","40","yanagiya_katsuhisa@example.com","","","","2","2012-11-28 11:50:00","0",""
"52","40","yanagiya_katsuhisa@example.com","","","","5","2012-11-28 11:50:00","0",""
"53","40","kamijou_yutaka@example.com","","","","7","2012-11-28 11:50:00","0",""
"53","40","kamijou_yutaka@example.com","","","","3","2012-11-28 11:50:00","0",""
"53","40","kamijou_yutaka@example.com","","","","2","2012-11-28 11:50:00","0",""
"53","40","kamijou_yutaka@example.com","","","","5","2012-11-28 11:50:00","0",""
"54","40","toji_sayaka@example.com","","","","7","2012-11-28 11:50:00","0",""
"54","40","toji_sayaka@example.com","","","","3","2012-11-28 11:50:00","0",""
"54","40","toji_sayaka@example.com","","","","2","2012-11-28 11:50:00","0",""
"54","40","toji_sayaka@example.com","","","","5","2012-11-28 11:50:00","0",""
"55","40","matsumoto_erika@example.com","","","","7","2012-11-28 11:50:00","0",""
"55","40","matsumoto_erika@example.com","","","","3","2012-11-28 11:50:00","0",""
"55","40","matsumoto_erika@example.com","","","","2","2012-11-28 11:50:00","0",""
"55","40","matsumoto_erika@example.com","","","","5","2012-11-28 11:50:00","0",""
"56","40","kadowaki_ryou@example.com","","","","7","2012-11-28 11:50:00","0",""
"56","40","kadowaki_ryou@example.com","","","","3","2012-11-28 11:50:00","0",""
"56","40","kadowaki_ryou@example.com","","","","2","2012-11-28 11:50:00","0",""
"56","40","kadowaki_ryou@example.com","","","","5","2012-11-28 11:50:00","0",""
"57","40","kawashima_koutarou@example.com","","","","7","2012-11-28 11:50:00","0",""
"57","40","kawashima_koutarou@example.com","","","","3","2012-11-28 11:50:00","0",""
"57","40","kawashima_koutarou@example.com","","","","2","2012-11-28 11:50:00","0",""
"57","40","kawashima_koutarou@example.com","","","","5","2012-11-28 11:50:00","0",""
"58","40","morinaga_ryousuke@example.com","","","","7","2012-11-28 11:50:00","0",""
